iter	Passed	Remaining
0	126	126671
1	129	64621
2	131	43771
3	133	33360
4	136	27093
5	137	22852
6	139	19800
7	142	17631
8	144	15867
9	145	14437
10	147	13292
11	149	12332
12	151	11519
13	153	10786
14	155	10194
15	156	9636
16	158	9190
17	160	8771
18	162	8392
19	167	8194
20	169	7880
21	170	7579
22	172	7322
23	174	7083
24	175	6854
25	177	6639
26	178	6443
27	180	6281
28	182	6118
29	184	5968
30	186	5817
31	187	5674
32	189	5553
33	192	5461
34	195	5386
35	197	5284
36	200	5205
37	202	5123
38	203	5026
39	205	4928
40	206	4840
41	209	4774
42	211	4701
43	212	4625
44	214	4553
45	217	4504
46	218	4438
47	220	4374
48	222	4314
49	223	4251
50	226	4215
51	228	4168
52	230	4119
53	232	4074
54	235	4042
55	236	3989
56	238	3937
57	239	3891
58	241	3857
59	243	3822
60	245	3777
61	247	3738
62	248	3702
63	250	3664
64	254	3659
65	257	3642
66	259	3614
67	261	3577
68	263	3559
69	266	3536
70	269	3520
71	271	3499
72	272	3465
73	274	3435
74	276	3405
75	277	3379
76	279	3350
77	280	3320
78	282	3291
79	284	3270
80	286	3248
81	288	3228
82	290	3206
83	291	3184
84	293	3154
85	294	3132
86	296	3107
87	298	3090
88	299	3069
89	301	3050
90	303	3031
91	304	3009
92	306	2988
93	307	2968
94	309	2949
95	310	2928
96	312	2912
97	315	2902
98	317	2888
99	319	2872
100	321	2857
101	322	2837
102	323	2819
103	325	2803
104	327	2787
105	329	2776
106	330	2760
107	332	2744
108	334	2732
109	336	2721
110	337	2706
111	339	2695
112	341	2680
113	343	2669
114	345	2657
115	346	2640
116	348	2631
117	350	2619
118	351	2602
119	353	2589
120	354	2575
121	356	2562
122	356	2544
123	358	2532
124	360	2525
125	362	2513
126	364	2503
127	365	2489
128	367	2479
129	369	2470
130	370	2459
131	372	2451
132	374	2443
133	377	2437
134	378	2427
135	381	2420
136	382	2411
137	384	2401
138	386	2394
139	388	2386
140	390	2378
141	392	2370
142	394	2366
143	396	2358
144	398	2348
145	399	2339
146	401	2329
147	402	2318
148	405	2313
149	406	2305
150	408	2296
151	409	2286
152	411	2277
153	412	2267
154	414	2259
155	415	2249
156	417	2242
157	419	2236
158	421	2228
159	422	2220
160	424	2212
161	426	2203
162	427	2195
163	428	2186
164	430	2178
165	432	2171
166	434	2167
167	436	2160
168	438	2154
169	439	2147
170	441	2138
171	442	2130
172	444	2122
173	445	2114
174	446	2106
175	448	2099
176	450	2093
177	451	2085
178	453	2077
179	454	2070
180	455	2059
181	456	2053
182	458	2046
183	460	2040
184	461	2033
185	463	2028
186	465	2021
187	466	2016
188	468	2011
189	470	2006
190	472	2001
191	474	1995
192	476	1990
193	477	1985
194	479	1979
195	481	1975
196	483	1970
197	484	1964
198	486	1959
199	488	1953
200	490	1951
201	492	1947
202	494	1942
203	496	1937
204	498	1934
205	500	1930
206	502	1924
207	504	1919
208	505	1913
209	507	1908
210	508	1902
211	510	1898
212	512	1893
213	514	1888
214	516	1884
215	521	1892
216	523	1889
217	525	1885
218	527	1880
219	529	1877
220	531	1872
221	532	1866
222	534	1863
223	536	1859
224	538	1854
225	540	1849
226	541	1845
227	543	1841
228	545	1837
229	547	1832
230	548	1827
231	550	1823
232	552	1819
233	555	1817
234	557	1814
235	559	1810
236	560	1805
237	562	1801
238	564	1796
239	565	1791
240	567	1786
241	568	1781
242	570	1777
243	571	1772
244	573	1766
245	574	1762
246	576	1757
247	577	1752
248	579	1747
249	580	1741
250	581	1736
251	583	1731
252	585	1727
253	587	1725
254	589	1721
255	590	1716
256	592	1712
257	593	1707
258	595	1703
259	596	1698
260	598	1693
261	599	1689
262	601	1685
263	603	1681
264	604	1677
265	606	1672
266	607	1667
267	609	1664
268	611	1660
269	612	1656
270	614	1652
271	616	1648
272	617	1644
273	619	1640
274	620	1636
275	621	1631
276	623	1627
277	625	1624
278	626	1619
279	628	1615
280	629	1611
281	631	1608
282	633	1604
283	634	1600
284	636	1595
285	637	1591
286	639	1588
287	640	1584
288	642	1580
289	644	1577
290	645	1573
291	647	1570
292	649	1566
293	650	1562
294	652	1558
295	653	1554
296	655	1550
297	656	1547
298	658	1543
299	659	1539
300	661	1535
301	662	1532
302	664	1528
303	666	1525
304	667	1521
305	669	1517
306	670	1514
307	672	1510
308	673	1507
309	675	1503
310	677	1500
311	678	1496
312	680	1493
313	681	1488
314	682	1484
315	684	1481
316	685	1477
317	687	1473
318	688	1470
319	690	1466
320	691	1462
321	693	1459
322	694	1455
323	696	1452
324	697	1448
325	698	1444
326	700	1441
327	701	1437
328	703	1433
329	704	1430
330	705	1426
331	707	1422
332	708	1419
333	710	1416
334	711	1412
335	713	1409
336	714	1405
337	716	1402
338	717	1399
339	719	1396
340	720	1392
341	722	1389
342	723	1386
343	725	1382
344	726	1379
345	728	1376
346	729	1373
347	731	1369
348	732	1365
349	733	1362
350	735	1359
351	736	1355
352	737	1352
353	739	1349
354	740	1345
355	742	1342
356	743	1339
357	745	1336
358	746	1333
359	748	1329
360	749	1326
361	750	1323
362	752	1320
363	753	1317
364	755	1313
365	756	1310
366	758	1307
367	759	1305
368	761	1302
369	763	1299
370	766	1299
371	767	1296
372	769	1293
373	770	1290
374	772	1287
375	774	1284
376	775	1281
377	777	1278
378	778	1275
379	779	1271
380	781	1269
381	782	1266
382	784	1263
383	785	1260
384	787	1257
385	789	1255
386	790	1252
387	792	1249
388	793	1246
389	795	1244
390	797	1241
391	799	1239
392	800	1236
393	802	1233
394	803	1230
395	805	1227
396	806	1224
397	807	1221
398	809	1218
399	811	1216
400	812	1214
401	814	1211
402	816	1208
403	817	1205
404	818	1203
405	820	1200
406	821	1197
407	823	1194
408	824	1192
409	826	1189
410	827	1186
411	829	1183
412	830	1180
413	832	1177
414	833	1175
415	835	1172
416	836	1169
417	838	1166
418	839	1164
419	841	1162
420	843	1159
421	844	1156
422	846	1154
423	847	1151
424	849	1148
425	850	1145
426	851	1142
427	853	1140
428	854	1137
429	856	1135
430	858	1132
431	859	1130
432	861	1127
433	862	1125
434	864	1122
435	865	1119
436	867	1117
437	868	1114
438	870	1112
439	871	1109
440	873	1107
441	875	1104
442	876	1102
443	878	1099
444	879	1097
445	881	1094
446	882	1092
447	884	1089
448	886	1087
449	887	1085
450	889	1082
451	891	1080
452	892	1078
453	894	1075
454	895	1072
455	897	1070
456	898	1068
457	900	1065
458	902	1063
459	904	1061
460	905	1058
461	906	1056
462	908	1053
463	910	1051
464	911	1048
465	913	1046
466	914	1044
467	916	1041
468	917	1039
469	919	1036
470	921	1034
471	922	1032
472	924	1029
473	925	1027
474	927	1024
475	928	1022
476	930	1020
477	932	1018
478	933	1015
479	935	1013
480	937	1011
481	938	1008
482	940	1006
483	941	1004
484	943	1001
485	945	999
486	947	998
487	949	995
488	950	993
489	952	991
490	953	988
491	955	986
492	956	983
493	958	981
494	959	979
495	961	976
496	962	974
497	964	971
498	965	969
499	967	967
500	968	964
501	970	962
502	971	959
503	973	957
504	974	955
505	976	953
506	977	950
507	979	948
508	980	946
509	982	944
510	984	941
511	985	939
512	987	937
513	989	935
514	990	932
515	992	930
516	993	928
517	995	926
518	997	924
519	998	921
520	1000	919
521	1002	917
522	1003	915
523	1005	913
524	1007	911
525	1008	909
526	1010	907
527	1012	904
528	1013	902
529	1015	900
530	1017	898
531	1019	896
532	1021	894
533	1022	892
534	1024	890
535	1026	888
536	1027	886
537	1029	883
538	1030	881
539	1032	879
540	1033	876
541	1035	874
542	1036	872
543	1038	870
544	1039	868
545	1041	865
546	1042	863
547	1044	861
548	1045	858
549	1046	856
550	1048	854
551	1050	852
552	1051	850
553	1053	848
554	1055	846
555	1057	844
556	1059	842
557	1061	840
558	1063	838
559	1065	836
560	1066	834
561	1068	832
562	1069	830
563	1071	828
564	1072	825
565	1074	823
566	1075	821
567	1077	819
568	1079	817
569	1080	815
570	1082	813
571	1084	811
572	1085	809
573	1087	806
574	1088	804
575	1090	802
576	1091	800
577	1093	798
578	1094	796
579	1097	794
580	1098	792
581	1100	790
582	1101	788
583	1103	786
584	1105	784
585	1107	782
586	1108	780
587	1110	778
588	1111	775
589	1113	773
590	1115	771
591	1116	769
592	1117	767
593	1119	765
594	1120	762
595	1122	760
596	1123	758
597	1124	756
598	1126	754
599	1128	752
600	1129	750
601	1131	747
602	1132	745
603	1134	743
604	1135	741
605	1136	739
606	1138	736
607	1139	734
608	1140	732
609	1142	730
610	1144	728
611	1145	726
612	1147	724
613	1148	722
614	1150	720
615	1151	717
616	1153	715
617	1154	713
618	1155	711
619	1157	709
620	1159	707
621	1160	705
622	1162	703
623	1163	701
624	1165	699
625	1166	697
626	1168	694
627	1169	692
628	1172	691
629	1174	689
630	1176	687
631	1177	685
632	1178	683
633	1180	681
634	1181	679
635	1183	677
636	1184	675
637	1186	673
638	1188	671
639	1190	669
640	1192	667
641	1193	665
642	1194	663
643	1196	661
644	1197	659
645	1199	657
646	1201	655
647	1202	653
648	1204	651
649	1205	649
650	1207	647
651	1209	645
652	1210	643
653	1211	641
654	1213	639
655	1214	637
656	1216	635
657	1218	633
658	1219	631
659	1221	629
660	1222	627
661	1224	624
662	1225	622
663	1226	620
664	1228	618
665	1229	616
666	1231	614
667	1233	613
668	1234	611
669	1236	609
670	1238	607
671	1239	604
672	1241	603
673	1242	601
674	1244	599
675	1245	597
676	1247	595
677	1250	593
678	1251	591
679	1252	589
680	1254	587
681	1255	585
682	1257	583
683	1258	581
684	1260	579
685	1262	577
686	1264	576
687	1265	574
688	1267	572
689	1269	570
690	1271	568
691	1273	566
692	1274	564
693	1275	562
694	1277	560
695	1279	558
696	1280	556
697	1282	554
698	1283	552
699	1284	550
700	1286	548
701	1288	546
702	1289	544
703	1291	542
704	1293	541
705	1294	538
706	1295	537
707	1297	534
708	1298	532
709	1300	531
710	1301	528
711	1302	526
712	1304	524
713	1305	523
714	1307	521
715	1308	519
716	1310	517
717	1312	515
718	1313	513
719	1315	511
720	1316	509
721	1318	507
722	1319	505
723	1321	503
724	1322	501
725	1324	499
726	1325	497
727	1327	496
728	1329	494
729	1330	492
730	1332	490
731	1333	488
732	1334	486
733	1336	484
734	1338	482
735	1339	480
736	1341	478
737	1343	476
738	1344	474
739	1345	472
740	1347	470
741	1348	468
742	1350	467
743	1352	465
744	1353	463
745	1355	461
746	1356	459
747	1358	457
748	1359	455
749	1360	453
750	1362	451
751	1363	449
752	1365	447
753	1366	445
754	1368	444
755	1369	442
756	1371	440
757	1372	438
758	1374	436
759	1375	434
760	1377	432
761	1378	430
762	1380	428
763	1381	426
764	1383	424
765	1384	423
766	1386	421
767	1388	419
768	1389	417
769	1391	415
770	1392	413
771	1394	411
772	1395	409
773	1397	407
774	1398	406
775	1400	404
776	1401	402
777	1403	400
778	1404	398
779	1405	396
780	1407	394
781	1408	392
782	1410	390
783	1412	389
784	1414	387
785	1415	385
786	1416	383
787	1418	381
788	1419	379
789	1421	377
790	1422	375
791	1424	374
792	1425	372
793	1427	370
794	1428	368
795	1430	366
796	1431	364
797	1433	362
798	1434	360
799	1435	358
800	1437	357
801	1438	355
802	1440	353
803	1441	351
804	1443	349
805	1445	347
806	1446	346
807	1448	344
808	1449	342
809	1451	340
810	1452	338
811	1454	336
812	1455	334
813	1457	333
814	1460	331
815	1461	329
816	1463	327
817	1464	325
818	1465	323
819	1467	322
820	1468	320
821	1469	318
822	1471	316
823	1472	314
824	1474	312
825	1475	310
826	1476	308
827	1477	306
828	1479	305
829	1480	303
830	1482	301
831	1483	299
832	1485	297
833	1487	296
834	1489	294
835	1490	292
836	1492	290
837	1493	288
838	1495	286
839	1496	285
840	1499	283
841	1500	281
842	1502	279
843	1504	278
844	1506	276
845	1507	274
846	1508	272
847	1510	270
848	1512	268
849	1513	267
850	1515	265
851	1516	263
852	1518	261
853	1519	259
854	1521	257
855	1522	256
856	1524	254
857	1525	252
858	1527	250
859	1528	248
860	1530	247
861	1532	245
862	1534	243
863	1535	241
864	1537	239
865	1538	238
866	1540	236
867	1541	234
868	1543	232
869	1544	230
870	1546	228
871	1547	227
872	1549	225
873	1550	223
874	1552	221
875	1553	219
876	1555	218
877	1556	216
878	1558	214
879	1559	212
880	1561	210
881	1562	209
882	1564	207
883	1565	205
884	1567	203
885	1569	201
886	1570	200
887	1572	198
888	1573	196
889	1575	194
890	1576	192
891	1578	191
892	1579	189
893	1581	187
894	1582	185
895	1583	183
896	1585	182
897	1586	180
898	1588	178
899	1589	176
900	1591	174
901	1592	173
902	1594	171
903	1595	169
904	1597	167
905	1598	165
906	1600	164
907	1601	162
908	1602	160
909	1604	158
910	1606	156
911	1607	155
912	1609	153
913	1610	151
914	1612	149
915	1613	147
916	1614	146
917	1616	144
918	1617	142
919	1619	140
920	1620	139
921	1622	137
922	1624	135
923	1625	133
924	1627	131
925	1628	130
926	1629	128
927	1631	126
928	1632	124
929	1634	123
930	1636	121
931	1638	119
932	1639	117
933	1641	115
934	1642	114
935	1643	112
936	1645	110
937	1646	108
938	1647	107
939	1649	105
940	1650	103
941	1652	101
942	1654	99
943	1655	98
944	1657	96
945	1659	94
946	1660	92
947	1662	91
948	1663	89
949	1665	87
950	1666	85
951	1668	84
952	1669	82
953	1671	80
954	1672	78
955	1674	77
956	1675	75
957	1677	73
958	1678	71
959	1680	70
960	1681	68
961	1683	66
962	1684	64
963	1686	62
964	1687	61
965	1689	59
966	1690	57
967	1692	55
968	1693	54
969	1694	52
970	1696	50
971	1697	48
972	1699	47
973	1701	45
974	1702	43
975	1704	41
976	1705	40
977	1706	38
978	1708	36
979	1709	34
980	1711	33
981	1712	31
982	1714	29
983	1715	27
984	1717	26
985	1718	24
986	1720	22
987	1721	20
988	1723	19
989	1724	17
990	1726	15
991	1727	13
992	1729	12
993	1730	10
994	1732	8
995	1733	6
996	1734	5
997	1736	3
998	1737	1
999	1739	0
